,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Brae,98,GB,1579405648,81,60.4,-1.35,280.15,7.2
1,Atuona,50,PF,1579405649,75,-9.8,-139.03,300.53,7.7
2,Vaini,75,TO,1579405650,74,-21.2,-175.2,302.15,8.2
3,Busselton,0,AU,1579405651,20,-33.65,115.33,302.04,1.32
4,Port Alfred,100,ZA,1579405653,80,-33.59,26.89,292.59,2.24
5,King City,1,US,1579405654,76,36.21,-121.13,285.93,2.6
6,Gayeri,0,BF,1579405655,25,12.65,0.49,291.01,4.31
7,Hermanus,100,ZA,1579405656,95,-34.42,19.23,291.48,1.79
8,Klaksvik,34,FO,1579405657,81,62.23,-6.59,279.15,5.1
9,Dunedin,100,NZ,1579405658,68,-45.87,170.5,292.59,2.32
10,Castro,78,BR,1579405372,93,-24.79,-50.01,288.72,3.54
11,Obo,92,CF,1579405661,31,5.4,26.49,290.2,0.73
12,Torbay,100,CA,1579405370,85,47.67,-52.73,260.93,1.79
13,Pishin,75,PK,1579405663,37,30.58,67.0,272.85,0.5
14,Te Anau,99,NZ,1579405390,81,-45.42,167.72,289.86,2.04
15,Saint George,1,US,1579405441,36,37.1,-113.58,280.15,5.1
16,Luderitz,0,NA,1579405429,72,-26.65,15.16,291.15,6.2
17,Kapaa,90,US,1579405525,64,22.08,-159.32,299.15,8.7
18,Puerto Ayora,91,EC,1579405668,60,-0.74,-90.35,298.15,4.17
19,Esperance,90,AU,1579405669,49,-33.87,121.9,294.15,4.6
20,Butaritari,78,KI,1579405671,76,3.07,172.79,302.55,6.35
21,Esso,28,RU,1579405672,89,55.93,158.7,254.14,1.95
22,Marabu,75,MY,1579405673,83,4.41,114.01,302.15,2.6
23,Codrington,100,AU,1579405674,94,-38.27,141.97,290.5,7.25
24,Aykhal,75,RU,1579405675,84,66.0,111.5,254.15,2.0
25,Kon Tum,0,VN,1579405676,50,14.35,108.0,297.84,1.8
26,Berlevag,0,NO,1579405677,63,70.86,29.09,271.03,9.61
27,Aasiaat,33,GL,1579405678,86,68.71,-52.87,254.0,3.29
28,Tiksi,100,RU,1579405679,89,71.69,128.87,254.46,4.1
29,Khatanga,100,RU,1579405681,96,71.97,102.5,242.13,2.09
30,Saskylakh,99,RU,1579405682,98,71.92,114.08,248.54,2.14
31,Bluff,100,NZ,1579405683,82,-46.6,168.33,289.26,2.68
32,Narsaq,100,GL,1579405684,50,60.92,-46.05,274.15,2.6
33,Ponta do Sol,20,PT,1579405427,72,32.67,-17.1,290.15,5.1
34,Bairnsdale,73,AU,1579405686,85,-37.83,147.62,299.82,1.79
35,Tuatapere,100,NZ,1579405687,82,-46.13,167.68,289.26,2.68
36,Umred,40,IN,1579405688,82,20.85,79.33,291.15,1.5
37,Avarua,100,CK,1579405690,94,-21.21,-159.78,300.15,5.1
38,Dikson,2,RU,1579405691,93,73.51,80.55,245.45,2.2
39,Mahebourg,75,MU,1579405692,94,-20.41,57.7,300.93,2.1
40,Cape Town,40,ZA,1579405443,77,-33.93,18.42,291.48,7.2
41,Meulaboh,9,ID,1579405694,79,4.14,96.13,300.65,2.91
42,Wilmington,90,US,1579405574,82,34.23,-77.94,293.71,3.1
43,Namatanai,100,PG,1579405696,81,-3.67,152.43,300.74,5.26
44,Port Elizabeth,100,ZA,1579405697,70,-33.92,25.57,291.44,5.9
45,Vardo,92,NO,1579405698,72,70.37,31.11,270.68,7.96
46,Yellowknife,20,CA,1579405700,73,62.46,-114.35,238.15,3.1
47,New Norfolk,75,AU,1579405701,49,-42.78,147.06,295.93,7.7
48,Port Hedland,8,AU,1579405702,58,-20.32,118.57,304.15,4.1
49,Okhotsk,0,RU,1579405703,75,59.38,143.3,246.23,3.38
50,Upernavik,0,GL,1579405704,64,72.79,-56.15,248.33,2.83
51,Rundu,86,NA,1579405706,56,-17.93,19.77,296.15,2.1
52,Mataura,100,NZ,1579405707,82,-46.19,168.86,289.26,2.68
53,Saldanha,100,ZA,1579405708,72,-33.01,17.94,290.15,4.6
54,Mar del Plata,0,AR,1579405414,64,-38.0,-57.56,295.93,4.6
55,Ushuaia,75,AR,1579405528,87,-54.8,-68.3,282.15,9.3
56,Nanortalik,100,GL,1579405712,93,60.14,-45.24,272.05,3.79
57,Islamabad,0,PK,1579405442,80,33.71,73.13,280.37,3.1
58,Pacific Grove,1,US,1579405714,87,36.62,-121.92,283.15,2.1
59,Rikitea,0,PF,1579405715,81,-23.12,-134.97,298.75,6.27
60,Sao Filipe,60,CV,1579405716,73,14.9,-24.5,294.92,0.86
61,Hobart,75,AU,1579405651,49,-42.88,147.33,295.93,7.7
62,Lampazos de Naranjo,30,MX,1579405718,46,27.02,-100.52,291.12,5.1
63,Jamestown,90,US,1579405707,95,42.1,-79.24,276.15,7.7
64,Ilulissat,100,GL,1579405720,54,69.22,-51.1,257.15,4.6
65,Kosa,99,RU,1579405721,93,59.94,55.0,260.22,2.65
66,Cabo San Lucas,5,MX,1579405710,82,22.89,-109.91,293.15,1.68
67,Ugoofaaru,100,MV,1579405724,79,5.67,73.0,300.67,5.85
68,Kavaratti,40,IN,1579405725,69,10.57,72.64,300.15,3.1
